file,base,total_verse_lines,with_expected_block_id,with_any_block_id,missing_block_id
baruch/baruch-04.md,baruch-04,37,37,37,0
baruch/baruch-05.md,baruch-05,9,9,9,0
baruch/baruch-01.md,baruch-01,22,22,22,0
baruch/baruch-06.md,baruch-06,71,71,71,0
baruch/baruch-02.md,baruch-02,35,35,35,0
baruch/baruch-03.md,baruch-03,38,38,38,0
ecclesiastes/ecclesiastes-05.md,ecclesiastes-05,19,19,19,0
ecclesiastes/ecclesiastes-11.md,ecclesiastes-11,10,10,10,0
ecclesiastes/ecclesiastes-01.md,ecclesiastes-01,18,18,18,0
ecclesiastes/ecclesiastes-10.md,ecclesiastes-10,20,20,20,0
ecclesiastes/ecclesiastes-04.md,ecclesiastes-04,17,17,17,0
ecclesiastes/ecclesiastes-09.md,ecclesiastes-09,18,18,18,0
ecclesiastes/ecclesiastes-08.md,ecclesiastes-08,17,17,17,0
ecclesiastes/ecclesiastes-03.md,ecclesiastes-03,22,22,22,0
ecclesiastes/ecclesiastes-07.md,ecclesiastes-07,29,29,29,0
ecclesiastes/ecclesiastes-06.md,ecclesiastes-06,12,12,12,0
ecclesiastes/ecclesiastes-12.md,ecclesiastes-12,14,14,14,0
ecclesiastes/ecclesiastes-02.md,ecclesiastes-02,25,25,25,0
acts-of-the-apostles/acts-of-the-apostles-01.md,acts-of-the-apostles-01,25,25,25,0
acts-of-the-apostles/acts-of-the-apostles-11.md,acts-of-the-apostles-11,29,29,29,0
acts-of-the-apostles/acts-of-the-apostles-25.md,acts-of-the-apostles-25,27,27,27,0
acts-of-the-apostles/acts-of-the-apostles-05.md,acts-of-the-apostles-05,42,42,42,0
acts-of-the-apostles/acts-of-the-apostles-21.md,acts-of-the-apostles-21,40,40,40,0
acts-of-the-apostles/acts-of-the-apostles-15.md,acts-of-the-apostles-15,40,40,40,0
acts-of-the-apostles/acts-of-the-apostles-04.md,acts-of-the-apostles-04,37,37,37,0
acts-of-the-apostles/acts-of-the-apostles-20.md,acts-of-the-apostles-20,38,38,38,0
acts-of-the-apostles/acts-of-the-apostles-14.md,acts-of-the-apostles-14,28,28,28,0
acts-of-the-apostles/acts-of-the-apostles-10.md,acts-of-the-apostles-10,49,49,49,0
acts-of-the-apostles/acts-of-the-apostles-24.md,acts-of-the-apostles-24,26,26,26,0
acts-of-the-apostles/acts-of-the-apostles-09.md,acts-of-the-apostles-09,43,43,43,0
acts-of-the-apostles/acts-of-the-apostles-19.md,acts-of-the-apostles-19,39,39,39,0
acts-of-the-apostles/acts-of-the-apostles-08.md,acts-of-the-apostles-08,38,38,38,0
acts-of-the-apostles/acts-of-the-apostles-18.md,acts-of-the-apostles-18,28,28,28,0
acts-of-the-apostles/acts-of-the-apostles-28.md,acts-of-the-apostles-28,30,30,30,0
acts-of-the-apostles/acts-of-the-apostles-07.md,acts-of-the-apostles-07,60,60,60,0
acts-of-the-apostles/acts-of-the-apostles-23.md,acts-of-the-apostles-23,35,35,35,0
acts-of-the-apostles/acts-of-the-apostles-17.md,acts-of-the-apostles-17,34,34,34,0
acts-of-the-apostles/acts-of-the-apostles-03.md,acts-of-the-apostles-03,26,26,26,0
acts-of-the-apostles/acts-of-the-apostles-13.md,acts-of-the-apostles-13,52,52,52,0
acts-of-the-apostles/acts-of-the-apostles-27.md,acts-of-the-apostles-27,44,44,44,0
acts-of-the-apostles/acts-of-the-apostles-02.md,acts-of-the-apostles-02,47,47,47,0
acts-of-the-apostles/acts-of-the-apostles-12.md,acts-of-the-apostles-12,24,24,24,0
acts-of-the-apostles/acts-of-the-apostles-26.md,acts-of-the-apostles-26,32,32,32,0
acts-of-the-apostles/acts-of-the-apostles-06.md,acts-of-the-apostles-06,15,15,15,0
acts-of-the-apostles/acts-of-the-apostles-22.md,acts-of-the-apostles-22,30,30,30,0
acts-of-the-apostles/acts-of-the-apostles-16.md,acts-of-the-apostles-16,40,40,40,0
1-chronicles/1-chronicles-09.md,1-chronicles-09,44,44,44,0
1-chronicles/1-chronicles-19.md,1-chronicles-19,19,19,19,0
1-chronicles/1-chronicles-29.md,1-chronicles-29,30,30,30,0
1-chronicles/1-chronicles-28.md,1-chronicles-28,21,21,21,0
1-chronicles/1-chronicles-08.md,1-chronicles-08,40,40,40,0
1-chronicles/1-chronicles-18.md,1-chronicles-18,17,17,17,0
1-chronicles/1-chronicles-03.md,1-chronicles-03,24,24,24,0
1-chronicles/1-chronicles-13.md,1-chronicles-13,0,0,0,0
1-chronicles/1-chronicles-27.md,1-chronicles-27,34,34,34,0
1-chronicles/1-chronicles-07.md,1-chronicles-07,40,40,40,0
1-chronicles/1-chronicles-23.md,1-chronicles-23,32,32,32,0
1-chronicles/1-chronicles-17.md,1-chronicles-17,27,27,27,0
1-chronicles/1-chronicles-06.md,1-chronicles-06,66,66,66,0
1-chronicles/1-chronicles-22.md,1-chronicles-22,19,19,19,0
1-chronicles/1-chronicles-16.md,1-chronicles-16,43,43,43,0
1-chronicles/1-chronicles-02.md,1-chronicles-02,55,55,55,0
